,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
48,1945年,-3.12,-3.17,-1.61,-0.84,-2.62,-1.12,-2.51,-0.43,-0.80,-0.58,-0.57,-1.69
49,1946年,-0.62,-0.91,-1.64,+0.02,-1.38,+0.73,+0.52,+0.07,-0.31,-0.29,+0.88,-1.40
50,1947年,-0.17,-2.66,-2.16,-1.42,-1.75,-2.16,0.00,-0.13,-0.43,-1.78,-1.84,-2.58
51,1948年,-0.12,-0.40,-1.02,+0.06,-0.01,-0.18,+0.25,-0.23,-0.26,-0.20,-0.50,+1.63
52,1949年,+0.88,+1.30,-1.94,-2.44,-0.01,-1.46,-0.71,-0.38,-0.36,-1.06,-1.16,-0.50
53,1950年,+0.36,-0.17,-0.69,-0.42,+0.27,-0.48,+0.87,+0.11,-0.27,-1.38,-0.37,-1.26
54,1951年,-1.24,-0.43,-0.83,-0.90,-0.60,-0.87,-1.08,+0.67,-1.90,-0.32,-0.81,+0.81
55,1952年,-0.24,-1.90,-0.95,-0.50,-0.62,-0.47,-0.71,-0.67,-0.57,-0.87,+0.01,-1.44
56,1953年,-1.25,-1.24,+0.29,-1.66,-1.14,-0.70,-0.38,-0.95,-0.51,-0.24,-1.64,+0.60
57,1954年,+0.43,+0.58,-0.72,+0.22,-0.52,-2.15,-2.16,-0.58,+0.21,-1.61,-0.07,+0.02
58,1955年,-1.20,+0.32,+0.48,0.00,-0.89,+0.52,+1.49,-0.41,-0.67,-0.48,-1.29,+0.66
59,1956年,-0.73,-1.26,-0.35,-0.58,-0.08,-0.21,-0.65,-1.83,-0.27,-0.02,-0.95,-1.98
60,1957年,+0.34,-1.34,-2.14,-0.08,-0.84,-1.55,-0.57,-0.55,-1.97,-0.99,+0.20,+0.42
61,1958年,-0.18,+0.35,-0.51,-0.06,-0.77,-0.17,-0.17,-0.98,-0.29,-1.12,-0.58,+1.04
62,1959年,-0.96,+1.99,+0.81,+0.57,-0.08,-0.80,+0.21,-0.59,+0.18,-0.12,+0.12,+0.14
63,1960年,-0.68,+0.70,+0.61,-1.23,-0.69,-0.62,+0.08,+0.17,+0.22,-0.55,+0.26,-0.92
64,1961年,-1.70,-1.30,-0.21,+0.20,+0.50,+0.33,+1.28,+0.16,+1.47,+0.76,+0.55,+0.06
65,1962年,-0.55,-0.31,-0.80,-0.32,-0.06,-0.64,+0.04,-0.31,+0.13,-1.01,-0.80,+0.12
66,1963年,-2.23,-1.70,-0.91,-0.10,+0.59,-0.28,+0.05,-0.77,-1.39,-1.22,-0.29,+0.53
67,1964年,+0.66,-1.83,-0.88,+1.62,+0.28,-0.82,-0.03,+0.13,-0.69,-0.88,-0.82,-0.26
68,1965年,-0.13,-0.75,-2.10,-2.34,-0.80,-0.59,-1.02,-0.45,-1.46,-1.44,-0.07,-0.69
69,1966年,-0.72,+0.65,+0.64,-0.55,-0.90,-1.28,-0.97,-0.12,-0.85,-0.08,-0.45,-1.78
70,1967年,-1.49,-1.16,-0.06,0.00,+0.72,+0.06,+0.31,+0.37,-0.68,-0.92,-0.71,-2.12
71,1968年,-0.58,-2.61,+0.05,-0.46,-1.04,-0.46,-0.38,-0.85,-1.05,-1.78,-0.07,+1.59
72,1969年,-0.25,-0.50,-1.42,-0.28,-0.12,-1.08,-0.51,-0.79,-0.29,-1.32,-1.03,-1.87
73,1970年,-1.66,-0.12,-3.34,-1.16,+0.44,-0.92,-0.01,-0.49,+0.36,-0.22,-0.80,-1.09
74,1971年,-0.77,-0.56,-1.10,-0.60,-0.74,-0.20,+0.17,-0.89,-1.38,-1.37,-0.55,-0.14
75,1972年,+1.42,+0.13,0.00,-0.30,-0.24,-0.20,-0.17,-0.56,-0.99,-0.19,-0.69,+0.10
76,1973年,+0.93,+0.95,-1.13,+1.02,-0.34,-0.95,+0.46,+0.49,-0.91,-0.78,-1.29,-2.02
77,1974年,-0.80,-0.98,-1.40,-0.14,-0.09,-0.77,-1.29,-0.68,-1.21,-0.57,-1.65,-1.35
78,1975年,-0.73,-1.15,-1.00,+0.09,-0.73,-0.30,+0.02,-0.14,+0.83,-0.14,+0.08,-1.08
79,1976年,-0.82,+0.99,-0.47,-0.72,-0.24,-0.62,-0.97,-1.56,-1.98,-1.06,-2.00,-1.03
80,1977年,-2.58,-2.43,-0.11,-0.24,-0.56,-0.43,+0.63,-1.23,+0.21,+0.22,+0.93,+0.70
81,1978年,-0.24,-2.31,-0.90,-0.64,+0.02,+0.71,+1.92,+0.66,-0.33,-0.90,-0.41,+0.48
82,1979年,+0.67,+1.62,-0.24,-0.94,-1.09,+1.19,-0.66,+0.07,-0.06,+0.54,+0.18,+1.11
83,1980年,-0.22,-1.74,-0.50,-1.16,-0.06,+0.86,-1.40,-2.56,-1.02,-0.56,-0.02,-0.98
84,1981年,-1.76,-0.94,-0.51,-0.38,-1.46,-1.14,+0.49,-0.85,-1.59,-0.97,-2.12,-0.57
85,1982年,-0.54,-0.89,+0.42,-0.81,+0.80,-0.78,-1.40,-0.59,-1.10,-0.28,+0.85,+0.39
86,1983年,+0.23,-1.14,-0.63,+1.74,+0.24,-1.62,-1.42,+0.03,0.00,-0.84,-1.08,-1.44
87,1984年,-1.82,-2.79,-2.86,-1.85,-1.37,+0.64,+0.71,+0.63,-0.63,-1.14,-0.45,-0.90
88,1985年,-2.11,+0.20,-0.26,-0.12,+0.20,-0.96,+0.01,+1.01,-0.07,-0.24,-0.56,-1.60
89,1986年,-1.86,-2.43,-1.22,-0.33,-0.61,-0.79,-1.44,-0.15,-0.15,-1.81,-1.03,+0.38
90,1987年,-0.22,+0.03,-0.06,-0.40,-0.10,+0.01,+0.17,-0.68,-0.69,+0.48,-0.09,-0.03
91,1988年,+0.87,-1.31,-0.72,-0.50,-0.58,+0.01,-1.65,-0.33,-0.30,-0.86,-1.95,-0.49
92,1989年,+1.84,+1.37,+0.53,+0.22,-0.54,-1.08,-0.38,-0.17,+0.10,-0.74,+0.57,+0.18
93,1990年,-0.64,+2.33,+1.10,+0.08,+0.08,+1.00,+0.68,+0.73,+0.61,+0.34,+1.65,+1.38
94,1991年,+0.71,-0.30,+0.58,+0.70,+0.25,+1.49,+0.13,-1.03,+0.23,0.00,-0.47,+0.66
95,1992年,+1.03,+0.24,+0.77,+0.24,-1.04,-1.02,-0.16,-0.65,-0.76,-0.48,-0.15,+0.70
96,1993年,+1.08,+1.03,-0.52,-1.02,-0.80,-0.72,-1.74,-2.15,-1.25,-1.03,+0.79,+0.10
97,1994年,-0.06,+0.23,-1.12,+0.70,+0.86,+0.06,+1.74,+1.58,+0.71,+0.86,+0.70,+0.51
98,1995年,-0.09,-0.11,-0.02,+0.01,0.00,-1.16,+0.38,+0.65,-0.75,+0.66,-0.93,-0.96
99,1996年,-0.08,-0.88,-0.40,-2.04,-1.02,-0.01,-0.01,-0.82,-0.79,-0.40,+0.03,+0.01
100,1997年,+0.22,+0.13,+0.69,+0.25,+0.14,-0.12,+0.20,-0.69,-0.77,-0.81,+1.09,+0.80
101,1998年,-0.22,+0.87,+0.90,+2.14,+1.64,-0.20,+0.21,+0.09,+0.93,+1.68,+0.13,+0.84
