,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
35,1998,1012.1,1014.1,3470.5,212.0,75.5,20.0,23.8,26.7,21.3,34.4,8.4,76,27,3.5,19.8,西南西,33.9,西南西,1642.4,,--,--,--,7.4,0,0,10
36,1999,1011.5,1013.5,2197.0,233.5,58.5,17.5,22.9,25.8,20.3,33.6,9.1,73,29,3.7,28.8,南南東,49.5,南南東,1652.1,,--,--,--,7.4,0,0,5
37,2000,1011.1,1013.1,2726.5,182.0,58.0,18.0,22.6,25.4,20.1,33.0,9.7,74,34,3.9,25.2,西北西,47.1,北北西,1697.6,,--,--,--,7.5,0,0,7
38,2001,1011.3,1013.4,2176.5,100.5,46.5,15.0,22.9,25.9,20.3,34.3,8.5,74,29,3.6,22.5,南西,39.5,南西,1707.0,,--,--,--,7.4,0,0,15
39,2002,1013.3,1014.2,2007.0,216.0,52.0,20.0,22.6,25.7,20.0,33.4,7.3,75,25,3.8,30.1,北,57.9,北西,1775.2,,×,×,×,7.2 ],×,×,0 ]
40,2003,1013.8,1014.6,1530.0,132.0,43.5,14.0,22.9,25.8,20.4,34.5,7.9,73,33,3.8,29.9,西,48.7,西,1827.4,,,,,,0,0,
41,2004,1013.0,1013.8,2149.0,202.0,72.0,18.0,22.8,25.9,20.2,34.0,8.1,74,31,3.9,26.4,北北西,46.6,北北西,1860.0,,,,,,0,0,
42,2005,1013.8,1014.7,1736.5,100.5,34.0,16.0,22.5,25.5,20.0,34.0,7.6,74,35,4.0,16.3,北西,32.8,北,1669.2,,,,,,0,0,
43,2006,1013.3,1014.1,2324.5,172.5,61.0,23.5,23.0,26.0,20.4,34.9,9.1,74,18,3.7,21.0,南,33.8,南,1679.0,,,,,,0,3,
44,2007,1013.0,1013.9,2510.5,265.0,65.0,25.5,22.9,25.9,20.3,33.8,8.9,74,29,3.8,28.8,南東,50.9,南東,1784.3,,,,,,0,1,
45,2008,1013.5,1014.3,1418.5,61.0,55.0,14.0,22.8,26.0,20.2,33.8,7.7,73,35,3.4,15.0,南南西,22.1,北,1837.3,,,,,,0,1,
46,2009,1012.8,1013.7,1653.5,121.5,50.0,15.5,22.9,26.1,20.2,35.1,7.9,73,23,3.6,14.4,北北東,24.3,北北西,1855.1,,,,,,0,0,
47,2010,1013.7,1014.6,2527.5,148.0,59.0,18.0,22.7,25.7,20.2,33.4,7.3,75,33,3.8,33.5,西北西,49.8,西,1538.0,,,,,,0,0,
48,2011,1013.4,1014.2,2115.5,377.5,66.0,18.0,22.4,25.4,20.1,34.3,8.4,74,35,3.8,36.2,南,50.9,南,1566.1,,,,,,0,1,
49,2012,1012.2,1013.0,2753.0,159.0,59.5,17.0,22.5,25.4,20.1,33.4,9.5,75,36,4.0,32.2,北西,57.4,北西,1512.2,,,,,,0,0,
50,2013,1013.4,1014.2,1694.0,95.0,57.5,21.0,22.8,25.8,20.3,34.7,9.0,74,24,3.8,19.7,西,32.6,北,1841.0,,,,,,0,0,
51,2014,1013.2,1014.0,2848.0,379.0,76.0,21.5,22.5,25.6,20.1,34.4,9.0,74,31,3.8,27.0,南南東,43.2,南東,1738.9,,,,,,0,1,
52,2015,1014.0,1014.8,1595.0,222.5,49.5,19.5,23.1,26.1,20.8,33.9,7.7,76,31,3.8,24.1,南,33.7,東,1740.4,,,,,,0,1,
53,2016,1019.8 ],1020.7 ],886.0 ],86.5 ],51.5 ],25.5 ],17.0 ],19.8 ],14.3 ],28.2 ],5.5 ],73 ],30 ],4.1 ],12.1 ],南,19.9 ],北北西,325.9 ],,,,,,1 ],0 ],
