,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
46,1933,,1015.6,1605.3,90.3,31.2,,15.2,19.9,10.8,35.8,-4.2,78,,,,,,,1991.3,,,,,6.8,17,6,19
47,1934,,1016.1,1364.6,150.1,39.3,,14.8,19.7,10.2,34.4,-5.6,75,,,,,,,2175.7,,,,,6.7,17,13,10
48,1935,,1015.1,1896.3,171.9,36.7,,15.2,20.0,10.6,36.1,-3.5,77,,,,,,,2186.6,,,,,6.5,7,7,9
49,1936,,1015.4,1693.8,90.3,46.2,,14.5,19.2,10.1,33.6,-5.1,76,,,,,,,2031.8,,,,,7.2,42,7,17
50,1937,,1015.4,1673.6,97.0,29.5 ],9.9 ],15.7,20.4,11.3,34.9,-1.9,79,,,,,,,1992.5,,,,,7.2,6,5,14
51,1938,,1015.1,1510.0,104.8,27.0,15.9 ],15.1,20.0,10.9,35.2,-2.9,77,,,,,,,2087.3,,,,,6.6,19,7,10
52,1939,,1015.6,999.8,82.9,21.9,13.7,15.3,20.4,10.2,35.4,-4.9,74,,,,,,,2231.2,,,,,6.5,17,1,13
53,1940,,1015.6,1539.3,109.0,67.2,20.1,15.2,20.1,10.2,35.3,-5.3,76,,,,,,,2162.4,,,,7 ],6.4,18,8,18
54,1941,,1015.1,2250.5,269.6,58.5,17.2,15.4,20.1,10.7,33.8,-5.2,77,,,,,,,1963.0,,,,,6.7,12,2,17
55,1942,,1015.6,1600.8,128.6,57.8,14.0,15.4,20.2,10.6,36.3,-4.1,76,,,,,,,2156.8,,,,,6.6,17,10,23
56,1943,,1016.0,1388.2,162.7,28.8,17.4,15.0,20.1,10.2,34.0,-4.7,76,,,,,,,2220.0,,,,,6.8,22,8,19
57,1944,,1015.8,1225.7,151.9,33.0,10.5,15.3,20.1,10.7,36.2,-3.9,76,,,,,,,2331.6,,,,,7.1,13,1,9
58,1945,,1015.4,2192.4,189.0,39.3,19.6,15.0,19.7,10.4,34.6,-5.7,77,,,,,,,2100.8,,,,,6.7,36,4,12
59,1946,,1015.5,1632.5,99.6,34.6,17.5,15.8,20.6,11.0,36.2,-6.0,79,,,,,,,2077.8,,,,,6.8,14,1,23
60,1947,,1016.4,1599.4,130.0,40.2,12.9,14.7,19.5,9.8,34.6,-3.9,78,,,,,,,2119.0,,,,8 ],6.9,29,2,16
61,1948,,1016.0,1933.8,154.5,45.1,22.3,15.9,20.7,11.2,33.8,-4.6,79,,,,,,,2224.5,,,,8 ],6.6,21,3,22
62,1949,,1015.2,1821.8,115.9,29.8,11.8,15.2,19.7,10.8,34.9,-2.8,79,,,,,,,1967.7,,,,,6.8,19,3,9
63,1950,1014.0,1014.6,1646.6,119.6,26.6,10.5,15.8,20.3,11.3,36.1,-4.3,77,,,,,,,2061.5,,,,,6.8,12,4,18
64,1951,1015.2,1015.7,1883.1,171.9,40.3,12.5,15.3,20.2,10.5,36.7,-3.7,76,,3.3,,,,,2190.0,,,,,6.7,22,2,10
65,1952,1015.1,1015.5,1632.5,89.4,20.8,12.2,15.5,20.1,11.1,36.7,-2.5,79,,3.2,,,,,1917.7,,,,,6.9,17,6,16
66,1953,1015.6,1016.1,2440.5,307.8,63.3,19.5,16.0,20.6,11.9,36.4,-3.4,76,,3.2,,,,,1985.8,,0 ],,,6.7,18,7,19
67,1954,1014.4,1014.8,2182.8,216.5,34.8,17.8,16.0,20.6,12.0,35.7,-2.9,77,,3.3,,,,,1899.1,,10,,,6.8,10,3,15
