,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1875,,,1219.2 ],94.0 ],,,17.0 ],21.9 ],12.2 ],35.1 ],-3.6 ],,,,,,,,,,,,,,,,
45,1917,,1012.8,1307.9,113.8,20.2 ],,13.6,18.5,9.4,34.2,-6.6,72,,,,,,,2245.7,,,,,,,,12
46,1918,,1014.7,1336.5,62.3,21.2 ],,13.8,18.4,9.8,34.4,-8.2,74,,,,,,,2207.0,,,,,,,,10
47,1919,,1013.8,1534.2,69.9,21.8 ],,14.1,18.6,10.1,33.4,-5.5,74,,,,,,,2093.0,,,,,,,,11
48,1920,,1014.5,2193.7,193.7,31.9 ],,14.2,18.7,10.4,32.5,-4.3,75,,,,,,,2171.6,,,,,,,,23
49,1921,,1014.1,2025.2,107.6,28.5,,13.6,18.4,9.6,34.2,-5.3,74,,,,,,,2169.2,,,,12 ],,,,13
50,1922,,1014.3,1411.2,88.8,28.1,,14.4,19.5,10.2,35.7,-8.1,73,,,,,,,2423.1,,,,,,,,10
51,1923,,1014.4,1697.4,97.9,28.7,,14.2,18.8,10.2,35.1,-6.6,76,,,,,,,1853.7,,,,23 ],,,,15
52,1924,,1014.2,1475.3,141.5,37.9,,14.0,18.9,9.6,36.1,-5.1,72,,,,,,,2209.4,,,,,,,,11
53,1925,,1013.9,1712.5,138.2,45.9,,13.8,18.5,9.5,33.6,-6.7,74,,,,,,,2102.8,,,,27 ],,,,3
54,1926,,1013.4,1176.8,70.5,27.5,,13.6,18.6,8.9,36.4,-6.8,71,,,,,,,2213.6,,,,,,,,10
55,1927,,1013.5,1444.9,94.2,33.4,,14.1,18.9,9.7,35.6,-8.6,74,,,,,,,2145.2,,,,14 ],,,,16
56,1928,,1014.3,1750.4,101.7,24.7,,14.1,18.4,10.0,32.2,-5.6,76,,,,,,,1912.3,,,,15 ],,,,9
57,1929,,1013.9,1909.1,175.9,37.6,,14.3,18.7,10.0,36.2,-7.0,71,,,,,,,2052.0,,,,,,,,10
58,1930,,1014.6,1476.2,92.9,22.6,,14.8,19.2,10.7,33.8,-3.7,74,,,,,,,2000.1,,,,,,,,6
59,1931,,1014.5,1564.5,150.4,42.7,,14.0,18.5,9.9,33.8,-6.1,73,,,,,,,1954.9,,,,,6.8,19 ],39,9
60,1932,,1014.2,1690.0,168.5,36.2,,14.6,19.1,10.5,34.7,-3.9,73,,,,,,,2033.3,,,,,6.5,11,69,6
61,1933,,1014.1,1011.3,122.2,24.0,,14.7,19.2,10.7,35.4,-5.4,72,,,,,,,2081.0,,,,,6.5,19,33,11
62,1934,,1013.9,1246.7,67.0,34.9,,13.9,18.5,9.7,35.3,-5.6,72,,,,,,,1957.8,,,,,6.7,10,35,9
63,1935,,1013.9,1656.8,163.6,70.5,,14.1,18.7,10.1,33.8,-4.3,72,,,,,,,2005.9,,,,5 ],6.6,12,47,14
64,1936,,1013.8,1627.6,93.6,49.5,,14.1,18.6,10.1,35.6,-7.2,71,,,,,,,2086.0,,,,36 ],6.5,21,47,12
65,1937,,1014.2,1359.0,74.8,27.0,,14.9,19.4,10.8,36.2,-3.6,71,,,,,,,2165.7,,,,,6.5,15,61,8
66,1938,,1013.3,2229.6,278.3,30.2,,14.5,19.1,10.6,33.6,-6.4,72,,,,,,,2046.7,,,,,6.5,13,78,10
67,1939,,1014.2,1750.0,147.0,88.7,,14.7,19.2,10.6,34.1,-6.9,71,,,,,,,2264.5,,,,4 ],5.9,10,53,17
68,1940,,1013.5,1094.4,77.6,53.0,22.0,14.8,19.7,10.4,36.4,-6.5,70,,,,,,,2442.8,,,,,5.7,12,23,8
69,1941,,1013.9,2155.2,139.7,29.7,14.6,14.6,19.1,10.6,34.3,-4.9,73,,,,,,,1857.3,,,,,6.8,9,38,4
70,1942,,1013.4,1469.5,116.1,37.4,14.8,15.0,19.9,10.6,38.1,-6.3,70,,,,,,,2218.3,,,,,6.0,15,37,11
71,1943,,1014.3,1391.3,126.2,47.7,22.6,14.6,19.4,10.5,34.4,-5.4,70,,,,,,,2177.0,,,,,5.7,11,20,10
72,1944,,1013.4,1328.8,164.7,39.2,12.4,14.2,19.1,10.1,37.0,-4.8,71,,,,,,,2114.3,,,,12 ],6.2,14,36,12
73,1945,,1013.5,1615.9,152.8,29.2,10.0,13.6,18.7,9.4,34.0,-7.9,72,,,,,,,2166.7,,,,38 ],6.0,20,30,9
74,1946,,1014.3,1236.3,70.6,40.9,14.4,14.9,19.8,10.8,35.5,-5.5,73,,,,,,,2189.2,,,,,6.4,19,35,9
75,1947,,1013.8,1037.8,118.5,63.7,29.5,14.1,19.0,9.8,36.0,-6.2,73,,,,,,,2174.2,,,,,5.9,16,40,8
76,1948,,1014.9,1757.4,157.5,64.2,17.1,15.2,19.9,11.2,33.3,-5.2,74,,,,,,,1906.1,,,,,6.6,9,38,20
77,1949,,1013.6,1782.1,141.0,71.5,21.3,14.6,19.4,10.5,34.1,-5.3,73,,,,,,,1958.8,,,,,6.4,6,46,4
78,1950,,1013.6,1951.7,151.3,41.6,13.0,15.1,19.9,11.4,34.2,-4.6,72,,,,,,,1937.4,,,,,6.3,14,32,14
79,1951,1013.4,1014.1,1589.8,103.5,64.4,21.0,14.7,19.7,10.7,36.4,-5.4,71,,3.7,,,,,1953.6,,,,33 ],6.5,8,32,11
80,1952,1013.6,1014.2,1640.6,71.5,30.9,18.4 ],14.6,19.3,11.0,34.5,-4.8,74,,3.6,,,,,1837.4,,,,,6.7,18,25,12
81,1953,1013.9,1014.6,1519.4,60.0,33.8,32.5,14.6,19.2,10.9,38.4,-4.4,71,,3.5,,,,,1786.5,,34 ],,,6.7,10,28,8
82,1954,1013.9,1014.6,1770.7,92.2,34.8,13.4,14.8,19.1,11.3,36.3,-6.3,71,,3.9,,,,,1771.5,,55,,30 ],6.8,14,15,12
83,1955,1012.9,1013.6,1553.9,106.2,34.7,15.1,15.5,20.2,11.7,35.4,-4.7,70,,3.7,,,,,2018.1,,0,,,6.2,5,20,12
84,1956,1012.8,1013.6,1657.3,77.2,27.0,10.0,14.7,19.3,11.0,35.5,-4.2,70,,3.5,,,,,1814.7,,12,,2 ],6.5,10,22,3
85,1957,1012.8,1013.5,1500.0,119.0,30.0,9.9,14.9,19.3,11.2,34.9,-3.7,68,,3.7,,,,,1780.8,,0,,,6.4,4,15,4
86,1958,1013.2,1014.0,1804.9,371.9,76.0,18.0,15.2,19.8,11.5,34.4,-4.5,69,,3.8,,,,,1918.7,,6,,,6.5,7,20,4
87,1959,1013.2,1013.9,1626.3,70.1,37.0,15.2,15.7,20.2,12.1,36.4,-6.1,71,,3.6,,,,,1828.4,,17,,,6.8,5,22,11
