,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
46,1926,,1015.3,1225.9,66.4,45.2,,14.7,19.4,10.5,34.3,-4.0,73,,,,,,,2410.7,,,,2 ],,,,
47,1927,,1014.9,960.0,81.8,19.9,,15.1,19.8,11.0,34.8,-4.0,73,,,,,,,2304.8,,,,,,,,
48,1928,,1015.2,1339.0,69.9,22.7,,15.4,20.0,11.4,34.6,-3.2,75,,,,,,,2227.8,,,,,,,,
49,1929,,1015.3,1251.5,78.4,45.5,,15.3,19.9,11.2,35.1,-4.9,74,,,,,,,2190.1,,,,,,,,
50,1930,,1015.7,1055.9,71.4,19.9,,15.8,20.5,11.9,35.4,-2.6,73,,,,,,,2220.9,,,,,,,,
51,1931,,1015.4,1537.1,93.7,55.5,,15.3,19.9,11.1,35.6,-4.0,74,,,,,,,2242.5,,,,17 ],6.1,15 ],7,16
52,1932,,1015.4,1502.9,106.6,40.5,,15.3,19.9,11.2,35.5,-2.3,74,,,,,,,2250.5,,,,,6.1,14,10,13
53,1933,,1015.2,1221.1,93.8,39.5,,15.4,20.3,11.1,35.2,-4.9,75,,,,,,,2383.2,,,,,6.0,14,16,18
54,1934,,1015.3,1066.8,85.1,50.9,,14.8,19.9,10.3,36.6,-4.8,73,,,,,,,2314.8,,,,,6.0,24,25,7
55,1935,,1014.7,1632.7,183.2,40.0,,15.2,20.0,10.6,36.7,-5.1,74,,,,,,,2287.8,,,,,6.0,13,17,9
56,1936,,1015.1,1118.4,47.8,21.2,,14.8,19.5,10.3,34.8,-5.2,73,,,,,,,2190.0,,,,10 ],6.3,34,23,12
57,1937,,1015.1,1097.3,58.0,24.6 ],12.4 ],15.7,20.4,11.2,36.3,-3.2,73,,,,,,,2062.4,,,,,6.5,8,19,16
58,1938,,1014.3,1536.3,92.4,28.2 ],18.3 ],15.3,20.2,10.6,36.2,-4.9,73,,,,,,,2103.5,,,,,6.4,22,22,17
59,1939,,1015.2,952.1,66.7,40.1 ],22.2 ],15.4,20.4,10.8,36.4,-5.5,74,,,,,,,2286.2,,,,,6.1,17,72,19
60,1940,,1015.0,1260.4,147.8,63.8,21.5 ],15.4,20.5,10.9,35.0,-4.0,74,,,,,,,2354.8,,,,8 ],5.9,25,139,21
61,1941,,1014.7,1612.1,76.2,63.2,21.7 ],15.4,20.4,11.0,35.3,-4.0,76,,,,,,,2080.8,,,,,6.4,14,136,8
62,1942,,1015.0,1084.7,89.6,36.4,15.0,15.5,20.6,10.9,37.2,-4.7,71,,,,,,,2265.9,,,,,5.9,17,137,17
63,1943,,1015.6,1296.0,72.1,32.6,12.0,15.0,20.3,10.5,34.5,-4.4,72,,,,,,,2181.4,,,,,5.9,28,117,27
64,1944,,1014.6,1042.5,91.2,21.2,9.0,15.2,20.4,10.8,36.3,-4.3,72,,,,,,,2045.4,,,,,6.1,18,84,9
65,1945,,1014.6,1318.8,71.3,49.1,11.7 ],14.7,19.9,10.4,36.2,-7.5,72,,,,,,,2109.3,,,,12 ],6.3,26,84,13
