,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1879,,1013.8 ],503.6 ],142.0 ],,,19.1 ],23.8 ],14.8 ],36.4 ],-1.1 ],73 ],,,,,,,,,,,,,,,
47,1923,,1014.8,1898.1,120.5,,,15.8,20.5,11.8,37.3,-4.1,76,,,,,,,1993.3,,,,,,,,
48,1924,,1015.0,1144.7,115.1,,,15.0,19.9,10.9,36.6,-3.4,75,,,,,,,2245.1,,,,,,,,
49,1925,,1014.7,1375.6,114.1,,,15.0,20.0,10.9,34.7,-3.1,72,,,,,,,2286.2,,,,,,,,
50,1926,,1015.3,1484.9,87.7,,,14.9,20.0,10.7,36.2,-3.2,70,,,,,,,2331.6,,,,,,,,
51,1927,,1014.8,1200.9,77.0,,,15.2,20.0,11.1,36.2,-3.7,72,,,,,,,2170.9,,,,,,,,
52,1928,,1014.6,1521.1,89.3,,,15.6,20.3,11.6,34.0,-3.2,73,,,,,,,2118.2,,,,,,,,
53,1929,,1015.0,1521.6,103.5,,,15.3,20.3,11.2,37.9,-4.4,72,,,,,,,2181.1,,,,,,,,
54,1930,,1015.6,1054.3,69.3,,,16.0,20.8,11.9,36.2,-2.7,73,,,,,,,2315.4,,,,,,,,
55,1931,,1015.2,1734.0,110.7,,,15.3,20.0,11.2,34.5,-3.3,73,,,,,,,2190.2,,,,18 ],6.4,13 ],2,14
56,1932,,1015.0,1379.4,101.1,,,15.2,20.0,11.2,37.0,-2.2,73,,,,,,,2124.8,,,,,6.4,15,9,7
