,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
34,1974,1013.0,1015.1,1631.0,69.5,22.0,10.0,13.8,18.2,9.8,35.8,-4.8,73,23,3.0,13.7,南,28.7,南,1931.6,,244,53,48,7.5,62,3,22
35,1975,1012.7,1014.9,2246.0,73.5,60.0,20.5,14.5,18.7,10.6,36.0,-3.5,77,17,2.5,13.8,北北西,29.7,南,1854.2,,255,45,62,7.3,45,5,29
36,1976,1013.2,1015.3,2141.5,187.5,50.0,17.0,13.7,18.1,9.7,34.4,-5.6,74,16,2.6,13.9,南,28.2,南,1922.1,,105,20,38,7.3,39,3,22
37,1977,1013.6,1015.7,1541.5,82.5,21.5,12.0,14.2,18.5,10.3,34.8,-6.7,77,14,2.5,13.9,西,24.9,南,1852.7,,445,46,105,7.1,56,3,17
38,1978,1013.4,1015.2,1405.5,40.0,19.0,12.5,14.9,20.0,10.4,37.8,-6.1,72,16,3.1,19.0,西北西,30.3,北北西,2144.0,,246,39,50,6.9,48,0,23
39,1979,1013.5,1015.3,1622.5,160.5,26.5,13.0,15.1,20.1,10.6,36.0,-2.7,73,14,2.9,18.0,南,33.2,南,1897.1,,46,20,15,7.4,31,1,26
40,1980,1013.3,1015.1,2141.5,150.5,22.0,7.0,13.7,18.3,9.6,33.6,-4.7,75,19,3.0,17.9,南南東,30.8,南南東,1694.4,,155,48,41,7.8,46,6,16
41,1981,1013.2,1015.0,2103.5,178.0,68.0,17.0,13.9,18.7,9.5,36.4,-7.4,75,16,3.0,17.7,南,31.6,南,1867.9,,304,52,80,7.6,64,2,16
42,1982,1013.5,1015.4,1741.5,97.5,26.5,10.0,14.4,19.2,10.1,35.4,-4.6,74,15,2.9,18.0,南,30.2,南南東,2014.3,,196,41,74,7.4,48,5,21
43,1983,1013.3,1015.1,2125.0,98.0,18.5,8.0,14.5,19.4,10.3,36.2,-5.4,75,15,3.2,18.9,南,34.6,南,1999.2,,174,25,35,7.4,41,2,20
44,1984,1013.6,1015.5,1633.5,70.0,20.5,8.5,13.9,18.7,9.7,36.5,-6.4,74,15,3.1,15.1,北北西,28.3,北北西,2024.1,,545,69,95,7.4,83,0,20
45,1985,1013.6,1015.4,2036.5,77.0,41.5,12.0,14.7,19.3,10.5,36.5,-4.7,74,13,3.1,18.2,南,31.1,南,1902.5,,299,51,65,7.4,44,3,15
46,1986,1013.5,1015.3,1635.0,64.5,25.5,10.5,13.9,18.6,9.7,36.0,-4.8,74,12,3.1,17.5,南,31.6,南,1826.9,,330,30,56,7.3,62,0,18
47,1987,1014.0,1015.8,1815.5,77.5,56.5,17.0,14.9,19.9,10.5,36.1,-4.6,73,15,3.2,18.3,南,31.0,南,1723.3,,219,42,61,7.3,32,2,17
48,1988,1013.0,1014.8,2262.5,111.5,34.5,15.5,14.0,18.7,10.0,35.4,-3.6,75,14,3.0,17.8,北北西,31.8,南,1571.2,,263,64,56,7.6,47,0,37
49,1989,1013.7,1015.5,2036.5,108.0,30.5,18.0,15.0,19.8,10.8,36.3,-2.3,75,16,3.1,14.4,南,30.2,南,1589.0,,81,29,25,7.6,30,2,27
50,1990,1014.0,1015.8,2295.5,157.5,40.0,22.5,15.7,20.5,11.4,37.2,-3.7,75,18,3.1,19.0,北北東,36.4,北北東,1751.4,,193,68,86,7.1,34,3,33
51,1991,1013.2,1015.1,1951.5,58.5,26.0,10.5,15.0,19.6,11.1,36.0,-4.1,76,18,3.1,24.9,南,48.6,南,1410.5,,113,40,37,7.8,45,4,27
52,1992,1013.6,1015.4,1826.0,74.5,28.0,10.5,15.0,19.8,10.7,35.9,-2.0,74,15,3.1,16.2,南,35.4,南,1625.3,,97,19,24,7.5,31,1,22
53,1993,1013.5,1015.3,2021.0,107.5,26.5,12.5,14.3,19.1,10.2,35.0,-1.8,74,13,3.1,16.5,南,32.2,南,1324.3,,110,26,24,7.8,36,3,28
54,1994,1013.4,1015.2,1509.0,127.5,35.5,15.0,15.6,20.6,11.0,39.1,-2.2,72,15,3.1,17.7,北北西,33.7,南,1899.4,,76,10,18,6.9,44,1,33
55,1995,1013.3,1015.1,2087.0,75.0,30.5,18.5,14.4,19.1,10.2,38.7,-3.0,73,14,3.1,17.6,南,33.1,南,1511.9,,241,52,88,7.6,45,1,28
56,1996,1013.5,1015.4,1837.0,103.0,41.5,17.0,14.5,19.5,10.1,37.3,-3.4,74,18,3.1,14.8,南,28.2,南,1607.0,,231,28,39,7.3,59,4,25
57,1997,1013.3,1015.1,2074.5,142.0,29.0,11.0,15.1,19.9,10.8,35.9,-4.5,74,17,3.1,18.0,南南東,33.5,北東,1667.1,,60,9,9,7.1,36,4,24
58,1998,1013.7,1015.4,2016.5,133.5,40.5,16.0,16.0,20.5,12.0,35.3,-3.5,75,20,2.9,15.6,南南東,26.9,南,1474.0,,43,19,19,7.8,31,6,20
59,1999,1013.1,1014.9,2003.5,86.5,34.0,13.5,15.2,20.1,11.1,37.5,-4.0,74,17,3.1,18.6,南,36.7,南,1575.2,,257,75,68,7.5,30,0,34
60,2000,1013.0,1014.8,1925.5,67.5,29.0,12.0,15.1,20.0,11.0,38.4,-3.7,72,10,3.1,14.7,南,25.9,南,1755.4,,282,54,67,7.4,44,3,33
61,2001,1013.0,1014.8,2085.5,74.5,32.5,13.0,14.9,19.8,10.6,37.6,-5.9,73,8,3.0,14.7,南,27.7,南,1724.2,,203,35,37,7.3,52,0,33
62,2002,1013.0,1014.8,1776.5,52.5,39.0,13.5,15.2,20.1,11.0,37.4,-3.3,73,14,3.1,13.1,南,26.9,南南西,1712.9,,110,37,39,7.5,40,3,36
63,2003,1013.6,1015.4,1745.0,68.0,32.5,11.0,14.9,19.6,10.9,36.2,-5.5,73,10,3.0,14.6,南南東,26.7,南,1462.9,,60,20,26,7.8,47,2,25
64,2004,1013.7,1015.5,2071.0,145.0,31.5,15.0,15.8,21.0,11.5,37.0,-4.3,70,10,3.0,17.4,北北東,40.1,南南東,1816.2,,121,33,30,7.3,40,3,17
65,2005,1012.8,1014.7,2003.0,68.5,29.5,11.5,14.9,19.7,10.7,35.8,-3.9,71,12,3.1,16.2,南南東,33.9,南,1696.3,,204,56,51,7.6,52,0,36
66,2006,1013.3,1015.2,1625.0,119.0,33.0,13.0,15.0,19.7,10.9,37.0,-3.5,74,16,2.9,16.2,南南東,31.1,南,1637.7,,258,25,46,7.5,64,2,23
67,2007,1013.0,1014.9,1594.5,53.0,41.5,16.0,15.5,20.4,11.1,37.1,-2.2,73,14,3.0,17.1,南南東,30.1,南南東,1762.2,,39,13,17,7.2,25,1,39
68,2008,1013.3,1015.2,1900.0,66.5,36.5,12.0,15.0,20.1,10.9,36.4,-1.8,75,15,2.9,13.9,西,22.4,北北西,1735.6,,107,32,41,7.5,47,2,40
69,2009,1012.9,1014.8,1851.5,95.5,31.0,14.0,15.0,19.9,10.8,34.8,-2.5,73,8,2.9,17.4,南南東,32.9,南南東,1589.0,,107,32,29,7.6,40,2,18
70,2010,1013.5,1015.4,1830.5,54.0,30.5,11.5,15.6,20.3,11.4,38.4,-2.4,72,14,3.1,15.1,南南東,27.0,南,1717.4,,98,19,31,7.4,47,1,27
71,2011,1013.5,1015.4,2375.5,126.0,33.0,16.5,15.0,19.8,11.0,37.6,-6.1,74,14,2.9,13.3,南,25.4,南,1603.9,,272,52,63,7.8,64,1,33
72,2012,1013.0,1014.9,2281.0,99.5,37.0,16.5,14.9,19.7,10.8,37.7,-3.6,74,14,3.1,19.5,南,31.3,南,1725.5,,346,40,71,7.9,59,1,43
73,2013,1013.1,1015.0,2048.0,132.0,42.5,17.0,15.5,20.5,11.1,37.1,-3.8,72,12,3.3,17.9,南南東,27.9,南南東,1842.0,,88,12,14,7.4,61,1,26
74,2014,1013.7,1015.6,1890.0,93.0,31.5,12.0,14.9,20.0,10.7,37.8,-2.6,73,10,3.1,15.0,北,25.8,南南東,1706.7,,101,30,30,7.6,58,2,34
75,2015,1013.6,1015.5,1750.0,60.0,32.0,14.5,15.4,20.4,11.2,36.7,-2.4,74,11,3.0,15.4,南,25.6,南,1696.2,,143,28,31,7.7,56,4,25
76,2016,1019.1 ],1021.1 ],471.5 ],44.0 ],8.0 ],2.5 ],6.4 ],11.0 ],2.4 ],28.4 ],-5.4 ],73 ],13 ],3.1 ],18.2 ],南南東,31.2 ],南南東,412.3 ],,50 ],17 ],16 ],8.0 ],34 ],0 ],4 ]
