,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
37,1974,1011.3,1013.1,3004.0,278.5,84.5,21.0,15.9,20.1,11.8,35.6,-4.5,66,13,2.5,15.8,南,26.1,,2064.6,12.2,0,0,--,6.5,2,7,12
38,1975,1011.3,1013.1,2201.5,92.0,43.0,14.0,16.1,20.3,12.2,33.8,-4.1,65,13,2.2,12.4,南南西,24.8,,2160.3,13.7,3,3,3,6.2,2,5,20
39,1976,1011.9,1013.7,2491.0,111.5,31.0,19.0,15.9,20.1,11.7,37.7,-5.5,66,15,2.3,10.8,南南西,22.8,,1955.3,12.4,0,0,--,6.6,6,5,19
40,1977,1012.2,1014.0,2363.5,131.5,36.5,18.0,16.5,20.7,12.3,36.0,-4.8,67,13,2.2,12.6,南南西,24.7,,2079.3,13.3,0,0,--,6.3,6,5,19
41,1978,1011.6,1013.5,1860.5,97.0,39.0,14.5,16.5,20.9,12.2,35.3,-5.0,67,14,2.1,12.5,南南西,27.3,南南西,2199.8,13.9,0,0,--,6.0,4,2,15
42,1979,1011.7,1013.6,2351.0,132.0,47.0,18.0,17.0,21.4,12.7,35.8,-3.1,69,14,2.1,18.3,南西,37.0,南南西,2121.5,13.3,0,0,--,6.3,2,3,24
43,1980,1011.3,1013.1,2596.0,151.5,47.0,21.5,15.9,20.1,11.8,34.2,-4.0,69,18,2.3,12.8,南南西,28.7,南南西,2084.3,13.2,1,1,1,6.4,3,1,18
44,1981,1011.2,1013.0,2567.5,175.0,72.0,20.5,15.5,19.9,11.3,34.4,-5.1,67,16,2.2,12.5,西,25.0,南南西,2269.9,13.7,0,0,--,5.9,3,1,12
45,1982,1012.0,1013.8,2960.5,297.5,49.5,26.0,16.0,20.2,11.9,33.9,-5.4,68,13,2.0,14.3,南,26.3,東北東,2119.5,13.3,0,0,--,6.1,1,3,14
46,1983,1011.6,1013.4,3008.5,204.5,65.5,15.5,15.9,20.1,11.9,35.8,-5.4,68,16,2.2,13.0,南南西,28.6,南南西,2280.3,13.8,0,0,0,5.9,3,4,14
