,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1926,,,177.1 ],49.6 ],,,6.8 ],11.9 ],2.5 ],24.2 ],-7.6 ],,,,,,,,,,,,,,,,
39,1962,1009.0,1013.7,1092.3,57.0,18.6,6.7,12.2,17.3,8.2,34.9,-6.1,73,20,2.6,15.7,西南西,,,2003.4,13.6,92,28,22,6.1,73,42,3
40,1963,1008.8,1013.5,1053.6,105.3,27.0,6.8,11.9,16.7,8.1,34.2,-6.3,74,19,2.4,16.8,西,,,1843.6,11.7,62,18,17,6.6,68,50,5
41,1964,1010.8,1015.6,1547.3,127.8,44.8,14.5,11.9,16.1,8.2,34.3,-4.5,75,18,2.5,15.7,西北西,,,1762.4,11.4,98,26,25,6.7,69,39,6
42,1965,1008.1,1012.9,1097.4,86.1,20.2,17.0,11.6,16.2,7.5,31.9,-6.0,71,16,2.7,16.8,北西,,,1984.8,11.3,26,4,4,6.2,76,33,11
43,1966,1008.4,1013.2,1361.1,141.1,56.5,15.8,12.0,16.5,7.8,34.6,-6.9,72,18,2.7,16.5,西,,,1857.4,12.4,40,14,11,6.5,62,36,12
44,1967,1009.2,1013.9,1156.6,67.6,34.8,16.1,12.2,16.7,8.1,33.8,-10.2,72,14,2.6,13.3,西北西,24.8,,1990.5,11.3,123,25,27,6.2,68,23,15
45,1968,1009.1,1013.9,1201.0,60.5,21.5,12.0,11.9,16.2,8.2,35.4,-7.2,74,18,2.5,14.0,北西,25.2,,1897.9,11.5,47,20,22,6.4,67,26,14
46,1969,1009.2,1013.9,1036.0,65.5,32.0,8.0,11.7,16.2,7.6,33.4,-8.6,71,11,2.6,15.3,東南東,27.8,,2139.8,12.6,138,26,25,6.5,66,31,13
47,1970,1009.8,1014.6,847.5,110.5,16.5,5.0,11.6,16.0,7.6,34.0,-8.5,70,10,2.6,16.0,西北西,31.2,,2217.0,12.3,69,18,16,6.2,85,27,5
48,1971,1009.1,1013.9,1257.0,84.0,22.0,8.5,11.6,15.9,7.7,34.8,-7.2,69,17,2.5,14.0,西北西,25.9,,2079.6,12.6,59,13,13,6.3,65,32,17
49,1972,1009.2,1013.9,1505.0,87.5,50.5,16.0,12.5,16.7,8.5,34.0,-6.2,71,17,2.5,14.3,南東,26.0,,2151.4,×,51,13,13,6.7,45,22,15
50,1973,1009.0,1013.8,813.5,83.5,22.0,9.5,12.2,16.6,8.2,35.9,-6.2,70,15,2.5,13.2,西,25.0,,2210.2,12.3,22,10,10,6.3,48,28,9
51,1974,1009.2,1014.0,1325.5,128.0,23.5,8.0,11.1,15.2,7.6,33.8,-8.3,72,12,2.4,13.3,西,29.0,,1954.3,12.0,145,35,34,6.7,77,59,15
52,1975,1009.2,1014.0,1036.5,100.5,31.0,9.0,12.2,16.2,8.6,34.9,-6.2,70,12,2.0,11.1,南南東,24.8,,2083.2,12.3,97,17,18,6.6,66,37,8
53,1976,1009.4,1014.2,1544.5,102.5,38.0,11.0,11.4,15.6,7.6,32.4,-10.1,69,15,1.9,10.8,西,24.5,,2048.7,11.3,47,9,14,6.8,57,28,4
54,1977,1009.9,1014.7,1154.0,71.5,17.5,7.5,11.9,16.0,8.2,33.0,-9.3,70,15,2.1,11.1,西,27.2,,2084.1,11.0,115,31,34,6.6,67,34,6
55,1978,1009.3,1014.0,863.0,57.5,25.0,19.0,12.2,16.4,8.3,35.7,-8.8,70,18,2.1,10.5,北西,23.5,西,2273.3,12.0,85,10,9,6.3,74,29,9
56,1979,1009.7,1014.4,1423.0,90.0,30.0,11.0,13.1,17.3,9.3,35.0,-6.4,72,15,2.1,14.0,西南西,33.0,西南西,2129.4,12.3,32,16,16,6.5,50,8,10
57,1980,1009.1,1013.9,1638.0,82.5,33.0,18.5,11.4,15.4,7.8,33.9,-7.9,74,22,1.8,10.2,北北西,30.2,西,1928.9,11.9,83,18,23,6.8,63,32,6
58,1981,1009.0,1013.8,1121.5,123.5,26.0,13.5,11.2,15.2,7.6,33.6,-6.3,73,17,1.9,14.0,東南東,27.2,東南東,2110.3,12.4,141,34,30,6.3,57,43,13
59,1982,1009.6,1014.7,1208.5,118.0,37.0,9.0,12.1,16.1,8.5,30.8,-8.6,71,16,3.2,18.9,南南東,29.8,東南東,2082.6,12.0,53,13,12,6.8,54,26,9
60,1983,1009.0,1014.2,1329.5,72.0,30.5,13.0,11.7,15.6,8.2,32.9,-6.7,71,13,3.4,18.4,西北西,34.3,西北西,2031.2,12.1,64,11,15,6.8,63,33,12
61,1984,1009.8,1015.0,819.5,63.0,13.5,6.0,10.8,14.7,7.5,33.9,-8.1,72,20,3.4,17.9,西北西,32.7,西北西,2147.5,12.8,148,25,28,6.8,98,42,4
62,1985,1009.7,1014.9,1181.0,60.0,25.5,8.0,12.0,15.9,8.5,36.0,-7.6,71,15,3.3,16.8,西北西,32.1,西,2164.6,12.7,103,19,21,6.9,65,29,9
63,1986,1009.0,1014.2,1292.0,296.0,43.5,12.0,11.3,15.3,7.7,32.2,-7.7,70,18,3.4,16.7,西北西,28.6,西北西,1808.5,12.3,67,20,17,6.8,84,30,4
